time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
191;1;112;4264.000000;4.4;711592;1907212;29;4.1;19;10;9.0;10;17;6.0;6.0;11;9.0
192;1;224;4392.000000;4.4;711592;1907212;29;4.0;19;9.9;8.9;9.9;18;5.9;5.9;12;8.9
193;1;392;4392.000000;4.4;711592;1907212;29;4.0;19;10;9.0;9.0;17;19;5.0;14;9.0
194;1;6272.000000;46512.000000;4.4;711592;1907212;28;4.0;19;9.9;9.9;8.9;17;20;5.9;14;7.9
195;1;392;4268.268066;4.4;711592;1907212;28;4.0;19;11;8.9;7.9;17;6.9;4.9;13;8.9
196;1;8416.000000;36240.000000;4.4;711592;1907212;28;4.1;19;9.9;8.9;9.9;18;5.9;5.9;12;8.9
197;1;149400.000000;307440.000000;4.4;711592;1907212;28;4.2;19;11;10;9.0;17;6.0;6.0;13;9.0
198;1;81192.000000;138840.000000;4.4;711592;1907212;28;4.1;19;13;8.9;7.9;17;6.9;5.9;13;8.9
199;1;14896.000000;89408.000000;4.4;711592;1907212;28;4.3;19;9.9;8.9;8.9;17;5.9;4.9;13;9.9
200;1;2904.000000;26096.000000;4.4;711592;1907212;28;4.0;19;9.0;10;10;17;6.0;5.0;14;8.0
201;1;2376.000000;21704.000000;4.4;711592;1907212;28;3.9;19;10;9.0;8.0;17;6.0;6.0;12;9.0
202;1;504;4392.000000;4.4;711592;1907212;29;4.0;19;11;10;9.0;17;5.0;5.0;13;9.0
203;1;448;4392.000000;4.4;711592;1907212;28;3.9;19;9.9;8.9;8.9;18;5.9;4.9;12;8.9
204;1;22312.000000;69360.000000;4.4;711592;1907212;28;4.2;19;10;9.0;9.0;17;6.0;6.0;13;10
205;1;12688.000000;48056.000000;4.4;711592;1907212;28;3.9;19;9.9;9.9;8.9;17;5.9;4.9;13;8.9
