time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
200;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;1.9;8.9;7.9;0.90;0.0;8.9;0.90
201;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.0;2.0;10;10;1.00;1.00;10;2.0
202;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;9.0;2.0;9.0;8.0;2.0;1.00;12;2.0
203;1;1456.000000;8400.000000;4.4;708348;1777964;28;3.8;19;7.9;1.9;8.9;8.9;1.9;0.90;9.9;0.0
204;1;504;4136.000000;4.4;708348;1777964;28;3.8;19;7.9;0.90;9.9;7.9;1.9;0.0;8.9;0.90
205;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;9.0;1.00;1.00;10;3.0
206;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;8.0;2.0;9.0;9.0;0.0;0.0;9.0;3.0
207;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;0.90;9.9;9.9;0.0;0.90;9.9;2.9
208;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.0;1.00;9.0;9.0;0.0;0.0;9.0;3.0
209;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;1.9;8.9;8.9;0.90;0.0;9.9;1.9
210;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;1.9;9.9;7.9;0.90;0.0;8.9;0.90
211;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;9.0;1.00;1.00;10;3.0
212;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;0.90;8.9;7.9;0.90;0.90;9.9;0.90
213;1;3056.000000;26352.000000;4.4;708348;1777964;28;3.8;19;7.9;1.9;9.9;7.9;0.90;0.0;8.9;1.9
